PARID,neighbourhood_group,zipcode,neighbourhood,hotel_counts_per_neighbourhood
1004911277,Manhattan,10013,Chinatown,907
1004911278,Manhattan,10013,Chinatown,907
1004911279,Manhattan,10013,Chinatown,907
1004911280,Manhattan,10013,Chinatown,907
1004911281,Manhattan,10013,Chinatown,907
1004911282,Manhattan,10013,Chinatown,907
1004911283,Manhattan,10013,Chinatown,907
1004911284,Manhattan,10013,Chinatown,907
1004911285,Manhattan,10013,Chinatown,907
1004911286,Manhattan,10013,Chinatown,907
1004911287,Manhattan,10013,Chinatown,907
1004911288,Manhattan,10013,Chinatown,907
1004911289,Manhattan,10013,Chinatown,907
1004911290,Manhattan,10013,Chinatown,907
1004911291,Manhattan,10013,Chinatown,907
1004911292,Manhattan,10013,Chinatown,907
1004911293,Manhattan,10013,Chinatown,907
1004911294,Manhattan,10013,Chinatown,907
1004911295,Manhattan,10013,Chinatown,907
1004911296,Manhattan,10013,Chinatown,907
1004911297,Manhattan,10013,Chinatown,907
1004911298,Manhattan,10013,Chinatown,907
1004911299,Manhattan,10013,Chinatown,907
1004911300,Manhattan,10013,Chinatown,907
1004911301,Manhattan,10013,Chinatown,907
1004911302,Manhattan,10013,Chinatown,907
1004911303,Manhattan,10013,Chinatown,907
1004911304,Manhattan,10013,Chinatown,907
1004911305,Manhattan,10013,Chinatown,907
1004911306,Manhattan,10013,Chinatown,907
1004911307,Manhattan,10013,Chinatown,907
1004911308,Manhattan,10013,Chinatown,907
1004911309,Manhattan,10013,Chinatown,907
1004911310,Manhattan,10013,Chinatown,907
1004911311,Manhattan,10013,Chinatown,907
1004911312,Manhattan,10013,Chinatown,907
1004911313,Manhattan,10013,Chinatown,907
1004911314,Manhattan,10013,Chinatown,907
1004911315,Manhattan,10013,Chinatown,907
1004911316,Manhattan,10013,Chinatown,907
1004911317,Manhattan,10013,Chinatown,907
1004911318,Manhattan,10013,Chinatown,907
1004911319,Manhattan,10013,Chinatown,907
1004911320,Manhattan,10013,Chinatown,907
1004911321,Manhattan,10013,Chinatown,907
1004911322,Manhattan,10013,Chinatown,907
1004911323,Manhattan,10013,Chinatown,907
1004911324,Manhattan,10013,Chinatown,907
1004911325,Manhattan,10013,Chinatown,907
1004911326,Manhattan,10013,Chinatown,907
1004911327,Manhattan,10013,Chinatown,907
1004911328,Manhattan,10013,Chinatown,907
1004911329,Manhattan,10013,Chinatown,907
1004911330,Manhattan,10013,Chinatown,907
1004911331,Manhattan,10013,Chinatown,907
1004911332,Manhattan,10013,Chinatown,907
1004911333,Manhattan,10013,Chinatown,907
1004911334,Manhattan,10013,Chinatown,907
1004911335,Manhattan,10013,Chinatown,907
1004911336,Manhattan,10013,Chinatown,907
1004911337,Manhattan,10013,Chinatown,907
1004911338,Manhattan,10013,Chinatown,907
1004911339,Manhattan,10013,Chinatown,907
1004911340,Manhattan,10013,Chinatown,907
1004911341,Manhattan,10013,Chinatown,907
1004911342,Manhattan,10013,Chinatown,907
1004911343,Manhattan,10013,Chinatown,907
1004911344,Manhattan,10013,Chinatown,907
1004911345,Manhattan,10013,Chinatown,907
1004911346,Manhattan,10013,Chinatown,907
1004911347,Manhattan,10013,Chinatown,907
1004911348,Manhattan,10013,Chinatown,907
1004911349,Manhattan,10013,Chinatown,907
1004911350,Manhattan,10013,Chinatown,907
